framework,concurrency,rps,tok_per_s,ttft_avg,ttft_p95,itl_avg,wall
vllm,1,0.716,91.6,0.0304,0.0327,0.01076,55.88
vllm,5,3.425,438.4,0.0359,0.0448,0.0112,11.68
vllm,10,6.633,849.1,0.0472,0.0528,0.01148,6.03
vllm,20,10.728,1373.2,0.0582,0.0666,0.01419,3.73
