0, 11692, 41.60
92, 11711, 115.20
95, 11707, 141.59
95, 11722, 147.24
92, 11722, 147.96
94, 11722, 148.72
95, 11722, 149.48
93, 11722, 149.75
94, 11714, 148.85
93, 11714, 148.75
92, 11714, 150.04
94, 11714, 150.70
95, 11714, 149.82
93, 11714, 148.83
94, 11714, 150.80
95, 11712, 151.10
96, 11712, 151.53
95, 11712, 151.99
95, 11713, 149.14
95, 11713, 150.14
95, 11713, 151.83
95, 11713, 151.96
95, 11713, 152.24
95, 11712, 150.61
95, 11712, 150.26
95, 11712, 152.22
95, 11712, 152.98
95, 11712, 152.29
95, 11713, 150.88
95, 11713, 151.86
95, 11713, 151.83
94, 11713, 151.80
91, 11713, 151.12
94, 11712, 150.01
94, 11712, 150.87
93, 11712, 153.43
94, 11712, 153.10
94, 11712, 152.44
92, 11713, 150.25
95, 11713, 151.77
94, 11713, 152.33
93, 11713, 154.09
95, 11713, 154.01
95, 11713, 151.82
95, 11713, 153.55
95, 11713, 153.88
95, 11713, 154.12
95, 11713, 154.13
95, 11713, 152.89
95, 11712, 152.66
92, 11712, 153.47
95, 11712, 154.31
96, 11712, 153.96
95, 11713, 152.79
94, 11713, 153.47
95, 11713, 154.29
96, 11718, 155.00
95, 11715, 155.20
95, 11707, 152.76
95, 11707, 153.69
92, 11707, 154.41
95, 11718, 154.35
95, 11718, 150.55
92, 11713, 144.55
94, 11713, 144.06
94, 11713, 144.43
95, 11713, 145.61
94, 11713, 145.27
95, 11713, 144.56
95, 11713, 145.93
93, 11713, 145.29
93, 11713, 144.19
95, 11713, 146.01
95, 11712, 143.92
93, 11712, 145.33
95, 11712, 146.87
95, 11712, 146.68
92, 11712, 146.61
94, 11713, 147.45
95, 11713, 146.94
95, 11713, 148.54
94, 11713, 147.96
95, 11713, 148.87
94, 11713, 147.65
95, 11713, 146.69
90, 11735, 147.55
81, 11735, 140.40
84, 11735, 141.00
85, 11734, 140.74
94, 11734, 143.21
95, 11734, 149.76
86, 11754, 135.01
90, 11754, 134.25
95, 11755, 139.66
