framework,input_len,ttft_median_ms,itl_median_ms,e2e_median_ms
vllm,64.0,37.2,10.82,719.1
vllm,256.0,67.6,10.81,748.4
vllm,512.0,96.5,10.86,777.3
vllm,1024.0,145.3,10.85,828.5
vllm,2048.0,211.9,10.88,896.5
