framework,concurrency,turn,ttft_median_ms
vllm,1,1,31.6
vllm,1,2,31.5
vllm,1,3,31.5
vllm,1,4,31.3
vllm,1,5,31.9
vllm,1,rps,0.9
vllm,8,1,43.5
vllm,8,2,49.4
vllm,8,3,52.4
vllm,8,4,47.6
vllm,8,5,51.6
vllm,8,rps,5.54
vllm,16,1,61.0
vllm,16,2,60.5
vllm,16,3,65.1
vllm,16,4,53.3
vllm,16,5,54.4
vllm,16,rps,8.15
