framework,concurrency,rps,tok_per_s,ttft_median_ms,ttft_p95_ms,itl_median_ms,e2e_median_ms
vllm,1,0.7,90.2,30.0,31.7,10.92,1418.1
vllm,4,2.68,343.6,33.4,43.6,11.43,1486.1
vllm,8,5.26,673.4,40.5,46.1,11.6,1517.8
vllm,16,8.48,1085.7,49.1,50.8,12.11,1586.7
vllm,32,11.25,1439.8,87.6,90.5,15.35,2037.4
