framework,concurrency,turn,ttft_median_ms
sglang,1,1,27.4
sglang,1,2,27.2
sglang,1,3,27.6
sglang,1,4,27.7
sglang,1,5,28.0
sglang,1,rps,0.87
sglang,8,1,31.1
sglang,8,2,40.1
sglang,8,3,38.1
sglang,8,4,39.7
sglang,8,5,39.9
sglang,8,rps,5.43
sglang,16,1,56.3
sglang,16,2,58.4
sglang,16,3,55.2
sglang,16,4,60.3
sglang,16,5,62.1
sglang,16,rps,7.42
