framework,concurrency,turn,ttft_median_ms
sglang,1,1,27.4
sglang,1,2,27.1
sglang,1,3,28.0
sglang,1,4,27.2
sglang,1,5,27.8
sglang,1,rps,0.87
sglang,8,1,38.4
sglang,8,2,40.1
sglang,8,3,39.5
sglang,8,4,40.0
sglang,8,5,40.3
sglang,8,rps,5.33
sglang,16,1,57.8
sglang,16,2,57.6
sglang,16,3,54.7
sglang,16,4,54.2
sglang,16,5,53.9
sglang,16,rps,7.45
