framework,concurrency,turn,ttft_median_ms
sglang,1.0,1.0,27.4
sglang,1.0,2.0,27.2
sglang,1.0,3.0,27.9
sglang,1.0,4.0,27.2
sglang,1.0,5.0,27.8
sglang,1.0,rps,0.87
sglang,8.0,1.0,31.1
sglang,8.0,2.0,40.1
sglang,8.0,3.0,39.5
sglang,8.0,4.0,40.0
sglang,8.0,5.0,39.9
sglang,8.0,rps,5.43
sglang,16.0,1.0,57.7
sglang,16.0,2.0,58.4
sglang,16.0,3.0,55.0
sglang,16.0,4.0,57.4
sglang,16.0,5.0,55.2
sglang,16.0,rps,7.45
