framework,concurrency,rps,tok_per_s,ttft_median_ms,ttft_p95_ms,itl_median_ms,e2e_median_ms
vllm,1,0.7,90.1,30.0,32.7,10.93,1418.2
vllm,4,2.68,342.7,33.5,43.2,11.46,1490.0
vllm,8,5.27,674.5,41.7,43.7,11.61,1514.9
vllm,16,8.53,1091.4,40.6,50.8,12.11,1586.8
vllm,32,11.28,1444.1,65.4,67.6,15.41,2022.6
