framework,concurrency,rps,tok_per_s,ttft_median_ms,ttft_p95_ms,itl_median_ms,e2e_median_ms
vllm,1,0.71,90.3,29.9,32.5,10.9,1414.4
vllm,4,2.69,343.7,33.4,39.1,11.43,1485.0
vllm,8,5.27,674.4,39.6,45.2,11.6,1516.5
vllm,16,8.52,1090.4,41.3,51.5,12.11,1588.5
vllm,32,11.25,1440.0,78.1,80.3,15.39,2034.0
