1, 11516, 20.54
100, 11516, 89.41
100, 11511, 139.44
99, 11511, 147.73
98, 11521, 146.57
98, 11521, 147.66
99, 11521, 147.85
94, 11521, 147.46
98, 11521, 148.88
98, 11516, 146.64
94, 11516, 148.54
99, 11516, 149.95
98, 11516, 148.45
99, 11516, 149.42
98, 11516, 148.21
98, 11516, 149.54
99, 11516, 149.17
94, 11516, 148.55
98, 11516, 150.78
98, 11517, 148.06
94, 11517, 150.03
99, 11517, 150.95
99, 11517, 149.62
99, 11517, 151.05
99, 11516, 149.91
99, 11516, 151.29
98, 11516, 151.18
94, 11516, 151.01
99, 11516, 152.58
98, 11516, 149.98
95, 11516, 151.66
98, 11516, 152.30
98, 11516, 151.08
99, 11516, 151.82
98, 11516, 150.62
98, 11516, 152.25
99, 11516, 151.95
94, 11516, 151.80
98, 11516, 153.63
99, 11516, 151.62
94, 11516, 152.65
98, 11515, 153.51
98, 11515, 152.33
99, 11515, 153.76
98, 11516, 153.04
99, 11521, 153.43
99, 11521, 153.50
94, 11518, 153.02
98, 11510, 154.18
98, 11510, 151.97
95, 11510, 153.76
98, 11520, 154.64
98, 11520, 153.43
99, 11519, 154.00
98, 11515, 153.35
99, 11515, 153.91
99, 11515, 154.37
94, 11515, 154.01
99, 11515, 155.90
98, 11515, 153.18
99, 11515, 151.69
98, 11515, 146.51
98, 11515, 146.29
98, 11515, 147.34
99, 11515, 145.75
99, 11515, 146.45
99, 11515, 146.98
98, 11515, 146.82
98, 11515, 147.31
98, 11515, 146.22
98, 11515, 147.10
98, 11515, 147.09
99, 11515, 147.37
99, 11515, 147.73
99, 11515, 146.45
100, 11515, 146.70
100, 11515, 150.18
100, 11515, 149.59
100, 11515, 151.15
100, 11515, 149.65
100, 11515, 151.02
100, 11515, 150.90
100, 11515, 150.45
100, 11515, 150.17
97, 11520, 152.13
100, 11520, 154.31
100, 11520, 151.91
75, 11520, 146.81
100, 11520, 138.77
100, 11518, 142.98
100, 11520, 150.39
