framework,concurrency,turn,ttft_median_ms
vllm,1.0,1.0,31.6
vllm,1.0,2.0,31.6
vllm,1.0,3.0,31.5
vllm,1.0,4.0,31.3
vllm,1.0,5.0,32.1
vllm,1.0,rps,0.9
vllm,8.0,1.0,44.0
vllm,8.0,2.0,48.6
vllm,8.0,3.0,50.1
vllm,8.0,4.0,47.6
vllm,8.0,5.0,51.4
vllm,8.0,rps,5.56
vllm,16.0,1.0,59.7
vllm,16.0,2.0,62.2
vllm,16.0,3.0,65.1
vllm,16.0,4.0,56.8
vllm,16.0,5.0,73.3
vllm,16.0,rps,8.11
