framework,input_len,ttft_median_ms,itl_median_ms,e2e_median_ms
sglang,64.0,33.4,11.26,742.8
sglang,256.0,65.0,11.29,776.5
sglang,512.0,93.0,11.36,805.8
sglang,1024.0,140.9,11.36,857.2
sglang,2048.0,205.7,11.45,927.3
