framework,input_len,ttft_median_ms,itl_median_ms,e2e_median_ms
sglang,64,33.4,11.26,742.8
sglang,256,65.3,11.29,776.0
sglang,512,93.0,11.36,805.8
sglang,1024,140.1,11.32,854.5
sglang,2048,205.2,11.45,927.3
