framework,concurrency,turn,ttft_median_ms
sglang,1,1,27.1
sglang,1,2,27.3
sglang,1,3,27.9
sglang,1,4,27.1
sglang,1,5,27.7
sglang,1,rps,0.87
sglang,8,1,30.9
sglang,8,2,37.6
sglang,8,3,40.9
sglang,8,4,41.3
sglang,8,5,38.7
sglang,8,rps,5.44
sglang,16,1,57.7
sglang,16,2,61.6
sglang,16,3,55.0
sglang,16,4,57.4
sglang,16,5,55.2
sglang,16,rps,7.47
