framework,concurrency,rps,tok_per_s,ttft_median_ms,ttft_p95_ms,itl_median_ms,e2e_median_ms
sglang,1.0,0.68,87.2,27.4,29.4,11.33,1466.0
sglang,4.0,2.61,333.6,28.5,31.1,11.85,1532.9
sglang,8.0,5.06,648.3,39.0,42.2,12.12,1577.2
sglang,16.0,7.64,977.5,55.6,64.3,13.84,1812.5
sglang,32.0,10.49,1342.2,67.5,80.5,17.06,2246.4
