framework,concurrency,rps,tok_per_s,ttft_median_ms,ttft_p95_ms,itl_median_ms,e2e_median_ms
vllm,1,0.7,90.2,30.2,32.1,10.92,1418.4
vllm,4,2.68,343.2,33.7,39.7,11.46,1489.3
vllm,8,5.25,671.6,42.1,44.3,11.63,1519.7
vllm,16,8.52,1090.6,47.5,50.9,12.11,1586.9
vllm,32,11.27,1443.2,67.3,69.7,15.4,2024.2
